dataset_name,model_name,observation,metric_params,LIME,SHAP
AHU21,AutoEncoder,10163,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3234717146500879,0.13634543078655323
AHU21,AutoEncoder,10164,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.31977240240737886,0.1794453316487473
AHU21,AutoEncoder,10165,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.32430135815999594,0.2299067587925944
AHU21,AutoEncoder,10172,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3263131742938665,0.2236547370053939
AHU21,AutoEncoder,10173,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3299867049515288,0.1756200376629709
AHU21,AutoEncoder,10174,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.2923096797548062,-0.0016426693160369473
AHU21,AutoEncoder,10176,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3384735274206772,0.24601873718999387
AHU21,AutoEncoder,10177,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.36800150983418933,0.22045796756167488
AHU21,AutoEncoder,10184,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.33379700311543553,0.2182317604098961
AHU21,AutoEncoder,10185,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3167049517055129,0.011491427989865452
AHU21,AutoEncoder,10187,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.4904808692947834,0.25220196244192883
AHU21,AutoEncoder,10188,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.4150895420403379,0.16045304495789303
AHU21,AutoEncoder,10191,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.5042847612285454,0.26176667833944417
AHU21,AutoEncoder,10197,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.34827349686494824,0.11788154549910038
AHU21,AutoEncoder,43465,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.2904917931206493,-0.17479311447287266
AHU21,AutoEncoder,60712,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.21467377919459663,-0.9835323401273282
AHU21,AutoEncoder,62404,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.47797934268514675,-0.24899811036589495
AHU21,AutoEncoder,64473,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.18963958926901353,-0.09838446488395199
AHU21,AutoEncoder,64783,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.30833613563299217,-0.47222924736474775
AHU21,AutoEncoder,64795,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.33253084240697844,-0.5108300005945062
AHU21,AutoEncoder,64796,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.31412928692792386,-0.5099250263226215
AHU21,AutoEncoder,64813,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.32659234684349897,-0.5127692677253635
AHU21,AutoEncoder,77140,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.2581800090345385,-0.01767988472707653
AHU21,AutoEncoder,77146,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.3017926759271446,-0.029086648308798677
AHU21,AutoEncoder,77154,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.2688112444675089,0.11026963179346434
AHU21,AutoEncoder,98666,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.23572612907128812,-0.09618333682286141
AHU21,AutoEncoder,98980,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",-0.2308699005723202,-0.17490583812258095
AHU21,AutoEncoder,102428,"{""abs"": false, ""features_in_step"": 1, ""normalise"": true, ""perturb_baseline"": ""mean""}",0.06448172506412843,0.928135208254418
