metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.9156153084225555,,,,,,
Complexity,local,observation,5.0,0.9156153084225555,,,,,,
Complexity,local,observation,249.0,0.9156153084225555,,,,,,
Complexity,local,observation,252.0,0.9156153084225555,,,,,,
Complexity,local,observation,255.0,0.9156153084225555,,,,,,
Complexity,local,observation,685.0,0.9156153084225555,,,,,,
Complexity,local,observation,403.0,0.9156153084225555,,,,,,
Complexity,local,observation,420.0,0.9156153084225555,,,,,,
Sparseness,local,observation,9.0,0.29248784030752734,,,,,,
Sparseness,local,observation,5.0,0.29248784030752734,,,,,,
Sparseness,local,observation,249.0,0.29248784030752734,,,,,,
Sparseness,local,observation,252.0,0.29248784030752734,,,,,,
Sparseness,local,observation,255.0,0.29248784030752734,,,,,,
Sparseness,local,observation,685.0,0.29248784030752734,,,,,,
Sparseness,local,observation,403.0,0.29248784030752734,,,,,,
Sparseness,local,observation,420.0,0.29248784030752734,,,,,,
